model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,isConv,finTol,NSE,R2_test,id,seed
nls,NA,NA,65.60498577076481,NA,NA,NA,-1730.1971304422843,3466.3942608845687,3477.594284715262,1321332.346500552,307,309,TRUE,9.430543982240412e-6,0.7894580168659606,0.7939102024030364,16_s1_m1_r3_Kedougou_-12.125_12.625,1
lm,0.5167893529937199,0.5151998442864623,89.30909290604185,325.12521047171595,6.179017633174825e-50,1,-1807.7755208051456,3621.551041610291,3632.7217969161484,2424738.6790128048,304,306,NA,NA,0.5922265196207097,0.5946766851957689,17_s2_m1_r3_Kedougou_-12.125_12.625,1
poly,0.5852033154036386,0.5824653834921114,82.88206189710739,213.73917771287068,1.2648656174103038e-58,2,-1784.417898633837,3576.835797267674,3591.7301376754835,2081439.1638477303,303,306,NA,NA,0.6673246998513566,0.6683190704445866,17_s2_m1_r3_Kedougou_-12.125_12.625,1
step,0.7010982283093022,0.6930470021358154,71.06409712587335,87.07968366583255,2.5791519967631392e-73,8,-1734.283855137313,3488.567710274626,3525.8035612941494,1499881.4523937213,297,306,NA,NA,0.7314885536448518,0.7362156568523781,17_s2_m1_r3_Kedougou_-12.125_12.625,1
nls,NA,NA,84.76655751176231,NA,NA,NA,-1791.8016442680303,3589.6032885360605,3600.774043841918,2184352.2588080517,304,306,TRUE,6.1014138491048266e-6,0.6169353688550218,0.6217876694875468,17_s2_m1_r3_Kedougou_-12.125_12.625,1
lm,0.7437370082975662,0.7428940379301239,65.03847909571624,882.2813197505988,6.985609984725199e-92,1,-1710.7355076107224,3427.4710152214448,3438.641770527302,1285921.143977511,304,306,NA,NA,0.7621104281124218,0.7627071237072526,18_s3_m1_r3_Kedougou_-12.125_12.625,1
poly,0.8042763499034422,0.8029844446222768,56.933064594938735,622.5505550824303,4.830153394932884e-108,2,-1669.5019291732658,3347.0038583465316,3361.898198754341,982136.2747839544,303,306,NA,NA,0.8212323042902528,0.8213557588790121,18_s3_m1_r3_Kedougou_-12.125_12.625,1
step,0.787392108763686,0.7831257296753319,59.73354898346492,184.5574648800006,2.1085159205488853e-97,6,-1682.1620468473113,3380.3240936946227,3410.1127745102417,1066860.9653738409,299,306,NA,NA,0.814485360029779,0.8165056258582049,18_s3_m1_r3_Kedougou_-12.125_12.625,1
nls,NA,NA,61.511048114376194,NA,NA,NA,-1693.6722505383339,3393.3445010766677,3404.515256382525,1150217.1481992474,304,306,TRUE,5.976386596614467e-6,0.7897357077644633,0.7970364436536804,18_s3_m1_r3_Kedougou_-12.125_12.625,1
lm,0.5335325714381992,0.5320229681095202,28.379458746643238,353.4256723619484,4.214160391480706e-53,1,-1480.7886561100609,2967.5773122201217,2978.7966909566594,248866.64673449946,309,311,NA,NA,0.49502243266657564,0.5062760215502843,19_s1_m1_r3_Kiffa_-11.375_16.625,1
poly,0.7277598158980221,0.7259920224947625,21.71568046345491,411.67696098204755,9.608229897209231e-88,2,-1397.0513633320948,2802.1027266641895,2817.0618983129066,145243.79962119018,308,311,NA,NA,0.6291606816532127,0.6378335026167411,19_s1_m1_r3_Kiffa_-11.375_16.625,1
step,0.6092677993803398,0.6041601889147233,26.100665108840335,119.28626967185981,3.40135426142074e-61,4,-1453.2393772348787,2918.4787544697574,2940.917511942833,208460.88405189363,306,311,NA,NA,0.6097712830662707,0.6240150966750874,19_s1_m1_r3_Kiffa_-11.375_16.625,1
nls,NA,NA,21.27258446082052,NA,NA,NA,-1391.1440037080731,2788.2880074161462,2799.507386152684,139829.56053960748,309,311,TRUE,6.501630394403027e-6,0.6267216977786372,0.6387231307723055,19_s1_m1_r3_Kiffa_-11.375_16.625,1
lm,0.39572188091981775,0.39374064118512864,32.497255796756285,199.73447634387912,3.1421538648079625e-35,1,-1503.3256423140126,3012.651284628025,3023.831827870787,322101.8484675421,305,307,NA,NA,0.4128014290965315,0.4394451920144401,20_s2_m1_r3_Kiffa_-11.375_16.625,1
poly,0.5234564373776287,0.5203212823603762,28.906312007753094,166.96349446745072,1.1792239859827935e-49,2,-1466.8731664170023,2941.7463328340045,2956.653723824353,254014.76166242952,304,307,NA,NA,0.5338532670680842,0.5625698223458033,20_s2_m1_r3_Kiffa_-11.375_16.625,1
step,0.5950433707661663,0.58417205186056,26.913755245352856,54.73515917735669,3.910199684384839e-54,8,-1441.8865641385987,2903.7731282771974,2941.0416057530692,215856.36597921402,298,307,NA,NA,0.5473898148166008,0.5682732142289433,20_s2_m1_r3_Kiffa_-11.375_16.625,1
nls,NA,NA,29.227103754334845,NA,NA,NA,-1470.7654804304343,2947.5309608608686,2958.7115041036304,260538.19612932944,305,307,TRUE,3.0649845357465306e-6,0.5244336846590193,0.5467995639164147,20_s2_m1_r3_Kiffa_-11.375_16.625,1
lm,0.5088134408830676,0.507202993148258,29.298911884699184,315.9453299136212,5.246709920442698e-49,1,-1471.5188242842169,2949.0376485684337,2960.2181918111955,261820.00247634694,305,307,NA,NA,0.5092967866071882,0.5189469687862932,21_s3_m1_r3_Kiffa_-11.375_16.625,1
poly,0.6132711331230953,0.6107268642620631,26.040221720035053,241.04022279873254,1.9310867160258834e-63,2,-1434.8169484978637,2877.6338969957274,2892.541287986076,206140.31675748996,304,307,NA,NA,0.6271315756130802,0.6379765019849106,21_s3_m1_r3_Kiffa_-11.375_16.625,1
step,0.6392864888131206,0.632072218589383,25.31621363072521,88.61415901911104,1.7733262347612997e-63,6,-1424.1272392499257,2864.2544784998513,2894.069260480549,192273.20177895503,300,307,NA,NA,0.5491525610006569,0.5675514799166633,21_s3_m1_r3_Kiffa_-11.375_16.625,1
nls,NA,NA,26.47428218199678,NA,NA,NA,-1440.3962080158462,2886.7924160316925,2897.9729592744543,213770.7232008576,305,307,TRUE,8.164595373764743e-6,0.6219761665230963,0.6417958162038727,21_s3_m1_r3_Kiffa_-11.375_16.625,1
lm,0.6802040113667863,0.6791589264366125,65.36759960748599,650.860032259389,9.712148541776438e-78,1,-1723.4780361417036,3452.956072283407,3464.146371632328,1307514.4620040485,306,308,NA,NA,0.7035832141341989,0.7107603053012724,22_s1_m1_r3_Kita_-9.375_12.875,1
poly,0.7361034798573278,0.7343730108727857,59.47763024695994,425.37802551376143,5.869940203764607e-89,2,-1693.890601370872,3395.781202741744,3410.701601873638,1078964.4924371957,305,308,NA,NA,0.7903664029511037,0.7913007379668416,22_s1_m1_r3_Kita_-9.375_12.875,1
step,0.7847599881458028,0.781196411790601,53.98147869025723,220.2169702356025,1.840147421125499e-98,5,-1662.5048904829189,3339.0097809658378,3365.120479446653,880028.0125591818,302,308,NA,NA,0.7937341054164683,0.7955577341347105,22_s1_m1_r3_Kita_-9.375_12.875,1
nls,NA,NA,62.46401031535035,NA,NA,NA,-1709.4836985766283,3424.9673971532566,3436.1576965021773,1193936.2909109157,306,308,TRUE,3.3509996954602057e-6,0.7780685236821311,0.7890939246793639,22_s1_m1_r3_Kita_-9.375_12.875,1
